;;Brand;Battery;Weight;Warranty;Back camera;OS;Hard memory;Size;4G LTE;Sensor;Color;Price
0;Tablet Apple  iPad Pro 12.9 2018;8;9720;0.631;1;12;4;4;12.90;0;1;1, 5, 6, 7, 8;960
1;Tablet Apple  iPad Mini 2019;8;5124;0.3;1;8;4;3;7.90;0;1;1, 5, 6, 7, 8;384
2;Tablet Apple  iPad Air 10.5 2019;8;8134;0.456;1;8;4;3;10.50;0;1;1, 5, 6, 7, 8;612
3;Tablet Dell Latitude 7200;5;5250;0.851;1;8;1;16;12.30;1;1;1, 8;2281
4;Tablet Apple  iPad 10.2;8;8827;0.483;1;8;6;3;12.20;0;1;1, 5, 6, 7, 8;400
5;Tablet Samsung  Galaxy TAB A 8.0 2019;7;5100;0.345;1;8;5;2;8.00;0;1;1, 8;150
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Столбец1;Столбец2;Столбец3;Столбец4;Столбец5;Столбец6;;;;;;;
;Объект номер 0  Brand   ;Объект номер 1  Brand   ;Объект номер 2  Brand   ;Объект номер 3  Brand   ;Объект номер 4  Brand   ;Объект номер 5  Brand   ;;;;;;;
;[8]  ;[8]  ;[8]  ;[5]  ;[8]  ;[7]  ;;;;;;;
;Battery   ;Battery   ;Battery   ;Battery   ;Battery   ;Battery   ;;;;;;;
;" [9720.0; 9720.0]  ";" [5124.0; 5124.0]  ";" [8134.0; 8134.0]  ";" [5250.0; 5250.0]  ";" [8827.0; 8827.0]  ";" [5100.0; 5100.0]  ";;;;;;;
;Weight   ;Weight   ;Weight   ;Weight   ;Weight   ;Weight   ;;;;;;;
;" [0.631; 0.631]  ";" [0.3; 0.3]  ";" [0.456; 0.456]  ";" [0.851; 0.851]  ";" [0.483; 0.483]  ";" [0.345; 0.345]  ";;;;;;;
;Warranty   ;Warranty   ;Warranty   ;Warranty   ;Warranty   ;Warranty   ;;;;;;;
;[1]  ;[1]  ;[1]  ;[1]  ;[1]  ;[1]  ;;;;;;;
;Back camera   ;Back camera   ;Back camera   ;Back camera   ;Back camera   ;Back camera   ;;;;;;;
;[12]  ;[8]  ;[8]  ;[8]  ;[8]  ;[8]  ;;;;;;;
;OS   ;OS   ;OS   ;OS   ;OS   ;OS   ;;;;;;;
;[4]  ;[4]  ;[4]  ;[1]  ;[6]  ;[5]  ;;;;;;;
;Hard memory   ;Hard memory   ;Hard memory   ;Hard memory   ;Hard memory   ;Hard memory   ;;;;;;;
;[4]  ;[3]  ;[3]  ;[16]  ;[3]  ;[2]  ;;;;;;;
;Size   ;Size   ;Size   ;Size   ;Size   ;Size   ;;;;;;;
;" [12.9; 12.9]  ";" [7.9; 7.9]  ";" [10.5; 10.5]  ";" [12.3; 12.3]  ";" [12.2; 12.2]  ";" [8.0; 8.0]  ";;;;;;;
;4G LTE   ;4G LTE   ;4G LTE   ;4G LTE   ;4G LTE   ;4G LTE   ;;;;;;;
;[0]  ;[0]  ;[0]  ;[1]  ;[0]  ;[0]  ;;;;;;;
;Sensor   ;Sensor   ;Sensor   ;Sensor   ;Sensor   ;Sensor   ;;;;;;;
;[1]  ;[1]  ;[1]  ;[1]  ;[1]  ;[1]  ;;;;;;;
;Color   ;Color   ;Color   ;Color   ;Color   ;Color   ;;;;;;;
;[1, 5, 6, 7, 8]  ;[1, 5, 6, 7, 8]  ;[1, 5, 6, 7, 8]  ;[1, 8]  ;[1, 5, 6, 7, 8]  ;[1, 8]  ;;;;;;;
;Price   ;Price   ;Price   ;Price   ;Price   ;Price   ;;;;;;;
;" [960.0; 960.0]  ";" [384.0; 384.0]  ";" [612.0; 612.0]  ";" [2281.0; 2281.0]  ";" [400.0; 400.0]  ";" [150.0; 150.0]  ";;;;;;;
;________________________________;________________________________;________________________________;________________________________;________________________________;______________________;;;;;;;
